distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 
8.609302e-26 1 0.03 1e-04 200 3.5 
4259.043 2 0.02446276 8.728516e-05 247.8692 2.894775 
238369.3 3 0.026927 0.0001116233 173.4353 3.7673 
238016.7 4 0.02552042 0.0001062999 186.9642 3.946669 
202141.7 5 0.02383611 0.0001064183 177.1257 2.834913 
223389.1 6 0.0228639 1e-04 200 3.5 
84694 7 0.03 7.971808e-05 200 3.5 
236071.4 8 0.03 1e-04 156.0845 3.5 
237293.8 9 0.03 1e-04 200 4.274479 
8.609302e-26 10 0.03 1e-04 200 3.5 
0.1817002 11 0.030001 1e-04 200 3.5 
0.1869389 12 0.029999 1e-04 200 3.5 
204372.9 13 0.03 0.000101 200 3.5 
730.8114 14 0.03 9.9e-05 200 3.5 
1.618195e-10 15 0.03 1e-04 200 3.5 
1.622533e-10 16 0.03 1e-04 200 3.5 
1.078846e-05 17 0.03 1e-04 200 3.500001 
1.0786e-05 18 0.03 1e-04 200 3.499999 
563867.6 19 0.0375 7.5e-05 200 3.5 
563867.6 20 0.0375 7.5e-05 200 3.5 
563796.6 21 0.037499 7.5e-05 200 3.5 
534366.6 22 0.0375 7.6e-05 200 3.5 
563867.6 23 0.0375 7.5e-05 200 3.5 
563867.6 24 0.0375 7.5e-05 200 3.5 
563867.6 25 0.0375 7.5e-05 200 3.5 
563867.5 26 0.0375 7.5e-05 200 3.500001 
563867.7 27 0.0375 7.5e-05 200 3.499999 
51114.57 28 0.03212536 9.291548e-05 200 3.5 
51136.3 29 0.03212636 9.291548e-05 200 3.5 
51092.85 30 0.03212436 9.291548e-05 200 3.5 
45987.05 31 0.03212536 9.391548e-05 200 3.5 
56633.44 32 0.03212536 9.191548e-05 200 3.5 
51114.57 33 0.03212536 9.291548e-05 200 3.5 
51114.57 34 0.03212536 9.291548e-05 200 3.5 
51114.51 35 0.03212536 9.291548e-05 200 3.500001 
51114.64 36 0.03212536 9.291548e-05 200 3.499999 
9287.624 37 0.03065509 9.781637e-05 200 3.5 
9298.845 38 0.03065609 9.781637e-05 200 3.5 
9276.407 39 0.03065409 9.781637e-05 200 3.5 
7412.235 40 0.03065509 9.881637e-05 200 3.5 
11441.56 41 0.03065509 9.681637e-05 200 3.5 
9287.624 42 0.03065509 9.781637e-05 200 3.5 
9287.624 43 0.03065509 9.781637e-05 200 3.5 
9287.577 44 0.03065509 9.781637e-05 200 3.500001 
9287.671 45 0.03065509 9.781637e-05 200 3.499999 
2426.519 46 0.0302067 9.931101e-05 200 3.5 
2435.878 47 0.0302077 9.931101e-05 200 3.5 
2417.156 48 0.0302057 9.931101e-05 200 3.5 
1356.856 49 0.0302067 0.000100311 200 3.5 
3734.971 50 0.0302067 9.831101e-05 200 3.5 
2426.52 51 0.0302067 9.931101e-05 200 3.5 
2426.519 52 0.0302067 9.931101e-05 200 3.5 
2426.463 53 0.0302067 9.931101e-05 200 3.500001 
2426.575 54 0.0302067 9.931101e-05 200 3.499999 
584.2393 55 0.03006567 9.978108e-05 200 3.5 
593.5168 56 0.03006667 9.978108e-05 200 3.5 
574.9747 57 0.03006467 9.978108e-05 200 3.5 
24.2823 58 0.03006567 0.0001007811 200 3.5 
1674.461 59 0.03006567 9.878108e-05 200 3.5 
584.2396 60 0.03006567 9.978108e-05 200 3.5 
584.2391 61 0.03006567 9.978108e-05 200 3.5 
584.1737 62 0.03006567 9.978108e-05 200 3.500001 
584.303 63 0.03006567 9.978108e-05 200 3.499999 
100.0399 64 0.03002116 9.992946e-05 200 3.5 
106.2737 65 0.03002216 9.992946e-05 200 3.5 
93.93661 66 0.03002016 9.992946e-05 200 3.5 
2373.653 67 0.03002116 0.0001009295 200 3.5 
1031.273 68 0.03002116 9.892946e-05 200 3.5 
100.04 69 0.03002116 9.992946e-05 200 3.5 
100.0397 70 0.03002116 9.992946e-05 200 3.5 
99.99396 71 0.03002116 9.992946e-05 200 3.500001 
100.0858 72 0.03002116 9.992946e-05 200 3.499999 
13.16596 73 0.0300069 9.997699e-05 200 3.5 
16.05684 74 0.0300079 9.997699e-05 200 3.5 
10.5304 75 0.0300059 9.997699e-05 200 3.5 
202301.4 76 0.0300069 0.000100977 200 3.5 
827.9489 77 0.0300069 9.897699e-05 200 3.5 
13.16604 78 0.0300069 9.997699e-05 200 3.5 
13.16588 79 0.0300069 9.997699e-05 200 3.5 
13.14507 80 0.0300069 9.997699e-05 200 3.500001 
13.18686 81 0.0300069 9.997699e-05 200 3.499999 
0.643912 82 0.03000146 9.999514e-05 200 3.5 
1.482574 83 0.03000246 9.999514e-05 200 3.5 
0.145817 84 0.03000046 9.999514e-05 200 3.5 
204058.1 85 0.03000146 0.0001009951 200 3.5 
751.2529 86 0.03000146 9.899514e-05 200 3.5 
0.6439316 87 0.03000146 9.999514e-05 200 3.5 
0.6438924 88 0.03000146 9.999514e-05 200 3.5 
0.6388255 89 0.03000146 9.999514e-05 200 3.500001 
0.6490183 90 0.03000146 9.999514e-05 200 3.499999 
0.02932142 91 0.03000031 9.999897e-05 200 3.5 
0.3541078 92 0.03000131 9.999897e-05 200 3.5 
0.0670281 93 0.02999931 9.999897e-05 200 3.5 
204309.8 94 0.03000031 0.000100999 200 3.5 
735.1379 95 0.03000031 9.899897e-05 200 3.5 
0.0293257 96 0.03000031 9.999897e-05 200 3.5 
0.02931711 97 0.03000031 9.999897e-05 200 3.5 
0.02822062 98 0.03000031 9.999897e-05 200 3.500001 
0.0304434 99 0.03000031 9.999897e-05 200 3.499999 
0.001314867 100 0.03000007 9.999978e-05 200 3.5 
0.2134479 101 0.03000107 9.999978e-05 200 3.5 
0.1565123 102 0.02999907 9.999978e-05 200 3.5 
204359.7 103 0.03000007 0.0001009998 200 3.5 
731.7219 104 0.03000007 9.899978e-05 200 3.5 
0.001315782 105 0.03000007 9.999978e-05 200 3.5 
0.001313957 106 0.03000007 9.999978e-05 200 3.5 
0.001089173 107 0.03000007 9.999978e-05 200 3.500001 
0.001562057 108 0.03000007 9.999978e-05 200 3.499999 
5.877068e-05 109 0.03000001 9.999995e-05 200 3.5 
0.1881989 110 0.03000101 9.999995e-05 200 3.5 
0.1802807 111 0.02999901 9.999995e-05 200 3.5 
204370.1 112 0.03000001 0.000101 200 3.5 
731.0038 113 0.03000001 9.899995e-05 200 3.5 
5.896454e-05 114 0.03000001 9.999995e-05 200 3.5 
5.857817e-05 115 0.03000001 9.999995e-05 200 3.5 
1.951383e-05 116 0.03000001 9.999995e-05 200 3.500001 
0.0001195852 117 0.03000001 9.999995e-05 200 3.499999 
2.625114e-06 118 0.03 9.999999e-05 200 3.5 
0.1830641 119 0.030001 9.999999e-05 200 3.5 
0.1855217 120 0.029999 9.999999e-05 200 3.5 
204372.3 121 0.03 0.000101 200 3.5 
730.8521 122 0.03 9.899999e-05 200 3.5 
2.665948e-06 123 0.03 9.999999e-05 200 3.5 
2.584548e-06 124 0.03 9.999999e-05 200 3.5 
2.834886e-06 125 0.03 9.999999e-05 200 3.500001 
2.398606e-05 126 0.03 9.999999e-05 200 3.499999 
1.172109e-07 127 0.03 1e-04 200 3.5 
0.181988 128 0.030001 1e-04 200 3.5 
0.1866389 129 0.029999 1e-04 200 3.5 
204372.8 130 0.03 0.000101 200 3.5 
730.82 131 0.03 9.9e-05 200 3.5 
1.260145e-07 132 0.03 1e-04 200 3.5 
1.087548e-07 133 0.03 1e-04 200 3.5 
