distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 
0 1 0.03 1e-04 200 3.5 
0 2 18.78946 0.07838729 -65852.13 2515.895 
0 3 23.88639 0.04444891 -99878.7 673.4121 
0 4 -22.97809 0.0590552 63708.27 -2136.641 
0 5 -21.76925 -0.01168838 159585.4 -3070.056 
0 6 3.84361 -0.01168838 159585.4 -3070.056 
0 7 3.84361 0.05074134 159585.4 -3070.056 
0 8 3.84361 0.05074134 -172158.5 -3070.056 
0 9 3.84361 0.05074134 -172158.5 -435.5319 
0 10 0.03 1e-04 200 3.5 
0 11 0.030001 1e-04 200 3.5 
0 12 0.029999 1e-04 200 3.5 
0 13 0.03 0.000101 200 3.5 
0 14 0.03 9.9e-05 200 3.5 
0 15 0.03 1e-04 200 3.5 
0 16 0.03 1e-04 200 3.5 
0 17 0.03 1e-04 200 3.500001 
0 18 0.03 1e-04 200 3.499999 
0 19 -23.03483 -0.004316478 176536.7 -1050.57 
0 20 -28.33581 -0.05790155 100388.1 657.2772 
0 21 16.39416 -0.02155026 52365.24 1060.274 
0 22 15.73572 0.06049943 149215.6 1761.203 
0 23 -19.22899 0.06049943 149215.6 1761.203 
0 24 -19.22899 -0.04525668 149215.6 1761.203 
0 25 -19.22899 -0.04525668 95574.11 1761.203 
0 26 -19.22899 -0.04525668 95574.11 2489.588 
0 27 2.120364 0.03899724 -30845.34 1181.471 
0 28 23.52275 -0.02967567 188252.9 -2070.473 
0 29 -6.025232 0.07648159 -47912.08 -2642.695 
0 30 11.3428 4.264394e-05 -122567.5 -915.6191 
0 31 18.80336 4.264394e-05 -122567.5 -915.6191 
0 32 18.80336 -0.08974111 -122567.5 -915.6191 
0 33 18.80336 -0.08974111 1722.613 -915.6191 
0 34 18.80336 -0.08974111 1722.613 2192.399 
0 35 20.8831 -0.05579902 -62179.31 -3211.752 
0 36 16.60108 -0.07998968 81321.87 -353.6002 
0 37 7.867116 -0.05952392 -124138.6 2534.227 
0 38 -16.51712 -0.02188068 15241.14 -789.6858 
0 39 -4.196625 -0.02188068 15241.14 -789.6858 
0 40 -4.196625 -0.01051093 15241.14 -789.6858 
0 41 -4.196625 -0.01051093 4900.505 -789.6858 
0 42 -4.196625 -0.01051093 4900.505 -1821.804 
0 43 28.4269 0.05463428 130207.3 -2749.579 
0 44 1.178608 -0.09182361 25781.64 2325.612 
0 45 -11.42232 0.08303051 -113715.4 -2675.553 
0 46 3.515495 0.02276724 194388.3 1026.324 
0 47 -25.37716 0.02276724 194388.3 1026.324 
0 48 -25.37716 0.03813042 194388.3 1026.324 
0 49 -25.37716 0.03813042 -47652.75 1026.324 
0 50 -25.37716 0.03813042 -47652.75 866.4664 
0 51 1.743226 -0.07052381 96269.74 -3030.94 
0 52 16.67218 -0.01281055 -56908.67 1969.622 
0 53 8.683416 -0.008064598 98526.49 2654.576 
0 54 -15.03814 0.07502446 81302.17 -622.7843 
0 55 20.60878 0.07502446 81302.17 -622.7843 
0 56 20.60878 0.0894214 81302.17 -622.7843 
0 57 20.60878 0.0894214 -169709.5 -622.7843 
0 58 20.60878 0.0894214 -169709.5 -1824.827 
0 59 -14.04536 0.02417736 118616.3 -1351.456 
0 60 -20.22764 0.009794443 -83119.32 1312.649 
0 61 24.26759 -0.08455493 93998.76 -3213.726 
0 62 -2.474068 0.05254763 -90612.74 -1172.026 
